longitude latitude strat_old strat_young file_name
15.749 -21.491 -140.00 -120.00 "NAMIBIA_MTX/28-4-96-1.mtx"
15.885 -21.448 -600.00 -450.00 "NAMIBIA_MTX/28-4-96-2.mtx"
15.484 -21.535 -600.00 -450.00 "NAMIBIA_MTX/28-4-96-3.mtx"
15.423 -21.360 -600.00 -450.00 "NAMIBIA_MTX/28-4-96-4.mtx"
15.225 -21.277 -600.00 -450.00 "NAMIBIA_MTX/28-4-96-5.mtx"
15.056 -21.227 -600.00 -450.00 "NAMIBIA_MTX/28-4-96-6.mtx"
17.079 -22.470 -600.00 -450.00 "NAMIBIA_MTX/28-9-97-1A.mtx"
14.902 -21.029 -600.00 -450.00 "NAMIBIA_MTX/30-4-96-1.mtx"
14.984 -20.877 -600.00 -450.00 "NAMIBIA_MTX/30-4-96-2.mtx"
14.845 -20.738 -600.00 -450.00 "NAMIBIA_MTX/30-4-96-3.mtx"
16.415 -23.523 -600.00 -450.00 "NAMIBIA_MTX/31-3-96-1.mtx"
15.323 -20.840 -135.00 -130.00 "NAMIBIA_MTX/95N-10.mtx"
15.323 -20.840 -135.00 -130.00 "NAMIBIA_MTX/95N-11.mtx"
15.323 -20.843 -135.00 -130.00 "NAMIBIA_MTX/95N-12.mtx"
15.322 -20.847 -135.00 -130.00 "NAMIBIA_MTX/95N-14.mtx"
15.322 -20.847 -135.00 -130.00 "NAMIBIA_MTX/95N-15.mtx"
15.293 -20.863 -135.00 -130.00 "NAMIBIA_MTX/95N-16.mtx"
15.327 -20.838 -135.00 -130.00 "NAMIBIA_MTX/95N-8.mtx"
15.322 -20.838 -135.00 -130.00 "NAMIBIA_MTX/95N-9.mtx"
18.500 -31.217 -2000.0 -1000.0 "NAMIBIA_MTX/8732-42.mtx"
18.083 -30.750 -2000.0 -1000.0 "NAMIBIA_MTX/8732-43.mtx"
17.817 -30.783 -2000.0 -1000.0 "NAMIBIA_MTX/8732-44.mtx"
17.583 -30.850 -2000.0 -1000.0 "NAMIBIA_MTX/8732-45.mtx"
17.933 -30.283 -2000.0 -1000.0 "NAMIBIA_MTX/8732-46.mtx"
17.483 -29.700 -2000.0 -1000.0 "NAMIBIA_MTX/8732-50.mtx"
17.817 -29.200 -2000.0 -1000.0 "NAMIBIA_MTX/8732-51.mtx"
17.650 -28.783 -2000.0 -1000.0 "NAMIBIA_MTX/8732-52.mtx"
17.500 -27.933 -2000.0 -1000.0 "NAMIBIA_MTX/8732-53.mtx"
17.967 -27.500 -2000.0 -1000.0 "NAMIBIA_MTX/8732-55.mtx"
16.833 -21.967 -600.00 -500.00 "NAMIBIA_MTX/8732-57.mtx"
16.500 -21.950 -600.00 -500.00 "NAMIBIA_MTX/8732-58.mtx"
16.167 -21.967 -600.00 -500.00 "NAMIBIA_MTX/8732-59.mtx"
15.633 -21.967 -600.00 -500.00 "NAMIBIA_MTX/8732-60.mtx"
15.200 -22.033 -600.00 -500.00 "NAMIBIA_MTX/8732-61.mtx"
15.050 -22.283 -600.00 -500.00 "NAMIBIA_MTX/8732-62.mtx"
14.850 -22.500 -600.00 -500.00 "NAMIBIA_MTX/8732-63.mtx"
14.750 -22.583 -600.00 -500.00 "NAMIBIA_MTX/8732-64.mtx"
14.517 -22.633 -600.00 -500.00 "NAMIBIA_MTX/8732-65.mtx"
13.250 -20.250 -600.00 -500.00 "NAMIBIA_MTX/8732-71.mtx"
13.667 -21.167 -600.00 -500.00 "NAMIBIA_MTX/8732-72.mtx"
13.967 -21.417 -600.00 -500.00 "NAMIBIA_MTX/8732-73.mtx"
14.083 -21.083 -600.00 -500.00 "NAMIBIA_MTX/8732-74.mtx"
14.500 -21.333 -600.00 -500.00 "NAMIBIA_MTX/8732-75.mtx"
14.833 -21.067 -600.00 -500.00 "NAMIBIA_MTX/8732-76.mtx"
15.000 -20.950 -600.00 -500.00 "NAMIBIA_MTX/8732-77.mtx"
15.050 -20.083 -600.00 -500.00 "NAMIBIA_MTX/8732-78.mtx"
15.467 -20.050 -600.00 -500.00 "NAMIBIA_MTX/8732-79.mtx"
16.667 -20.500 -600.00 -500.00 "NAMIBIA_MTX/8732-80.mtx"
15.167 -26.650 -600.00 -500.00 "NAMIBIA_MTX/8732-81.mtx"
15.350 -26.783 -600.00 -500.00 "NAMIBIA_MTX/8732-82.mtx"
15.600 -26.583 -600.00 -500.00 "NAMIBIA_MTX/8732-83.mtx"
16.267 -26.650 -600.00 -500.00 "NAMIBIA_MTX/8732-84.mtx"
17.783 -26.867 650.00 550.00 "NAMIBIA_MTX/8732-85.mtx"
19.300 -28.750 -2000.0 -1000.0 "NAMIBIA_MTX/8732-86.mtx"
19.050 -29.183 -2000.0 -1000.0 "NAMIBIA_MTX/8732-87.mtx"
21.100 -28.617 -2000.0 -1000.0 "NAMIBIA_MTX/8732-93.mtx"
15.767 -23.467 -600.00 -500.00 "NAMIBIA_MTX/8832-107.mtx"
16.283 -23.233 -600.00 -500.00 "NAMIBIA_MTX/8832-110.mtx"
16.300 -23.250 -600.00 -500.00 "NAMIBIA_MTX/8832-111.mtx"
16.250 -23.333 -600.00 -500.00 "NAMIBIA_MTX/8832-114.mtx"
16.250 -23.325 -600.00 -500.00 "NAMIBIA_MTX/8832-116.mtx"
11.950 -17.667 -600.00 -500.00 "NAMIBIA_MTX/8832-137.mtx"
11.900 -17.350 -600.00 -500.00 "NAMIBIA_MTX/8832-138.mtx"
12.017 -17.217 -600.00 -500.00 "NAMIBIA_MTX/8832-139.mtx"
19.783 -22.383 650.00 550.00 "NAMIBIA_MTX/8832-153.mtx"
18.350 -30.517 -1200.0 -1100.0 "NAMIBIA_MTX/8832-72.mtx"
18.350 -30.517 -1200.0 -1100.0 "NAMIBIA_MTX/8832-73.mtx"
18.333 -30.483 -1200.0 -1100.0 "NAMIBIA_MTX/8832-74.mtx"
18.467 -30.317 -1200.0 -1100.0 "NAMIBIA_MTX/8832-75.mtx"
18.083 -30.450 -1200.0 -1100.0 "NAMIBIA_MTX/8832-78.mtx"
18.083 -30.450 -1200.0 -1100.0 "NAMIBIA_MTX/8832-79.mtx"
14.500 -21.180 -135.00 -125.00 "NAMIBIA_MTX/MD-008.mtx"
16.780 -20.688 -600.00 -500.00 "NAMIBIA_MTX/93-101.mtx"
16.788 -20.678 -600.00 -500.00 "NAMIBIA_MTX/93-104.mtx"
16.743 -20.573 -600.00 -500.00 "NAMIBIA_MTX/93-105.mtx"
15.380 -19.805 -600.00 -500.00 "NAMIBIA_MTX/93-106.mtx"
15.195 -19.723 -600.00 -500.00 "NAMIBIA_MTX/93-107.mtx"
14.850 -19.617 -600.00 -500.00 "NAMIBIA_MTX/93-108.mtx"
14.318 -19.713 -600.00 -500.00 "NAMIBIA_MTX/93-110.mtx"
13.392 -17.933 -600.00 -500.00 "NAMIBIA_MTX/93-114.mtx"
13.167 -17.850 -600.00 -500.00 "NAMIBIA_MTX/93-115.mtx"
13.075 -17.867 -600.00 -500.00 "NAMIBIA_MTX/93-116.mtx"
12.965 -17.782 -600.00 -500.00 "NAMIBIA_MTX/93-117.mtx"
12.992 -17.804 -600.00 -500.00 "NAMIBIA_MTX/93-118.mtx"
14.225 -17.392 -600.00 -500.00 "NAMIBIA_MTX/93-120.mtx"
14.227 -17.408 -600.00 -500.00 "NAMIBIA_MTX/93-121.mtx"
14.290 -17.402 650.00 550.00 "NAMIBIA_MTX/93-122.mtx"
15.510 -24.742 -600.00 -500.00 "NAMIBIA_MTX/93-125.mtx"
17.492 -27.917 -1200.0 -1100.0 "NAMIBIA_MTX/93-024.mtx"
17.502 -27.935 -1200.0 -1100.0 "NAMIBIA_MTX/93-025.mtx"
17.533 -27.948 -1200.0 -1100.0 "NAMIBIA_MTX/93-026.mtx"
17.558 -27.962 -1200.0 -1100.0 "NAMIBIA_MTX/93-027.mtx"
17.583 -27.967 -1200.0 -1100.0 "NAMIBIA_MTX/93-028.mtx"
17.623 -27.947 -1200.0 -1100.0 "NAMIBIA_MTX/93-029.mtx"
17.680 -27.892 -1200.0 -1100.0 "NAMIBIA_MTX/93-030.mtx"
17.675 -27.783 310.00 290.00 "NAMIBIA_MTX/93-031.mtx"
17.779 -27.662 -1200.0 -1100.0 "NAMIBIA_MTX/93-033.mtx"
17.921 -27.633 -1200.0 -1100.0 "NAMIBIA_MTX/93-034.mtx"
18.263 -27.677 -1200.0 -1100.0 "NAMIBIA_MTX/93-036.mtx"
18.200 -27.669 -1200.0 -1100.0 "NAMIBIA_MTX/93-037.mtx"
18.103 -27.571 -1200.0 -1100.0 "NAMIBIA_MTX/93-038.mtx"
18.716 -27.185 -1200.0 -1100.0 "NAMIBIA_MTX/93-072.mtx"
18.712 -27.186 -1200.0 -1100.0 "NAMIBIA_MTX/93-074.mtx"
18.710 -27.186 -1200.0 -1100.0 "NAMIBIA_MTX/93-075.mtx"
16.917 -21.992 -600.00 -500.00 "NAMIBIA_MTX/93-099.mtx"
14.500 -21.180 -135.00 -125.00 "NAMIBIA_MTX/MD-012.mtx"
19.833 -29.283 -1200.0 -1100.0 "NAMIBIA_MTX/NF-008.mtx"
21.050 -29.483 290.00 270.00 "NAMIBIA_MTX/S-20.mtx"
17.117 -21.950 -600.00 -500.00 "NAMIBIA_MTX/RM1423.mtx"
